"simCAlpha","fitAlpha","simBeta","fitBeta","BIC"
NA,NA,NA,NA,NA
0,0,1,0,275.297213717955
0,0,2,0,275.297213717955
0,0,3,0,275.297213717955
0,0,4,0,275.297213717955
0,0.0728012017811371,5,0.841467205466447,272.413299415438
0,0,6,0,275.297213717955
0,0,7,0,275.297213717955
0,0.104433430449815,8,0.433682550725587,274.627654387804
0,0,9,0,275.297213717955
0,0.00488072788085381,10,6.86631341861071,271.869770005523
0.111111111111111,0,1,0,275.297213717955
0.111111111111111,0.0957473357564529,2,2.48865604134359,246.563136800507
0.111111111111111,0.157994265063769,3,3.01254935114965,191.206320726042
0.111111111111111,0.11739207534622,4,3.81282841427573,208.007629748776
0.111111111111111,0.0884785998512987,5,4.63216576444569,188.176531216661
0.111111111111111,0.09014091390496,6,6.83484100941951,134.195516264728
0.111111111111111,0.114208685562015,7,7.80992536520229,113.032302181422
0.111111111111111,0.0999206734556416,8,7.20179985207046,121.210060834086
0.111111111111111,0.0875625247388071,9,9.97694402181331,93.3904503581746
0.111111111111111,0.119721970588206,10,10,52.4563809227108
0.222222222222222,0,1,0,275.297213717955
0.222222222222222,0.318302469475366,2,2.35298180747846,217.444673125334
0.222222222222222,0.18056385613028,3,2.33073903763505,232.681797010069
0.222222222222222,0.151993959881272,4,4.30650754775258,175.729286940081
0.222222222222222,0.271312867348235,5,4.67682257797449,148.244532344536
0.222222222222222,0.331712166219969,6,5.00835085917451,113.77166021955
0.222222222222222,0.251158715463835,7,6.6391849118745,76.3761613476116
0.222222222222222,0.219528584992877,8,7.02046578552013,84.3706643961172
0.222222222222222,0.238681998583783,9,8.71815901862053,67.697184140492
0.222222222222222,0.190740354209725,10,10,50.7241448826147
0.333333333333333,0,1,0,275.297213717955
0.333333333333333,0.204121538181906,2,2.59841023381064,218.161180994551
0.333333333333333,0.327913962596195,3,3.79185954084614,168.525245541147
0.333333333333333,0.349521541022161,4,3.64269243127569,141.7954812184
0.333333333333333,0.340549875449988,5,4.23895824326285,155.017452495451
0.333333333333333,0.386769268470197,6,5.78039451618329,99.2977534670156
0.333333333333333,0.322393738613499,7,8.87175276479645,58.5417281771072
0.333333333333333,0.339760689339886,8,6.0935567505181,82.0081026736079
0.333333333333333,0.338652313239933,9,10,50.2179558076258
0.333333333333333,0.262299437525524,10,10,30.3995619031784
0.444444444444444,0,1,0,275.297213717955
0.444444444444444,0.3240069152521,2,2.17876122364872,216.002743253696
0.444444444444444,0.344585655580627,3,3.42266326024207,177.844370497428
0.444444444444444,0.372904354821268,4,4.56843291413952,131.095324460041
0.444444444444444,0.400935752762809,5,7.60374411697877,84.0869090673953
0.444444444444444,0.478703658100645,6,5.92687622750963,103.677976674409
0.444444444444444,0.439628006158296,7,5.77551102228897,106.892869793606
0.444444444444444,0.420320143872811,8,10,54.2282342136376
0.444444444444444,0.41237792024049,9,7.46303728290618,70.3708837686906
0.444444444444444,0.391804010704457,10,10,41.2477047516712
0.555555555555556,0.159731352282975,1,1.68725153452328,250.356503063583
0.555555555555556,0.530465407484053,2,2.6088062770983,184.195015013008
0.555555555555556,0.734536037189246,3,3.24520512330831,134.27584246636
0.555555555555556,0.495362665729789,4,4.79081196044424,98.492565169855
0.555555555555556,0.556560361377747,5,6.81582654124811,57.4071513407624
0.555555555555556,0.557919999256282,6,6.07436736095318,66.7900099068328
0.555555555555556,0.563116571992734,7,4.36473510230535,97.9316554000662
0.555555555555556,0.649662675122951,8,7.11549050991471,39.9870324489502
0.555555555555556,0.618868543022244,9,9.41503345843459,29.1040994629665
0.555555555555556,0.538533058351133,10,9.79936033142395,35.3293655820863
0.666666666666667,0.86065550401731,1,0.906034870652247,260.267956118132
0.666666666666667,0.767365885468539,2,2.26299240379066,182.427623447501
0.666666666666667,0.593853167697955,3,3.21350874313288,154.838774648583
0.666666666666667,0.583991068025068,4,4.53001596903212,117.385227324104
0.666666666666667,0.573967987773389,5,8.21098821467031,45.8338476044295
0.666666666666667,0.67190530915318,6,6.63079669077306,46.4746547510053
