"PartNum","alpha","beta","BIC","LL"
1,0.477388173809157,3.85807882044753,347.603121896763,-168.544065576354
2,0.467163005836663,5.34601805085322,279.242675859806,-134.363842557875
3,0.865638378446202,3.46448660273304,361.188829374048,-175.336919314996
4,0.476046241556249,5.5873868495096,249.44324857951,-119.464128917727
5,0.521354758582052,4.32214850697803,296.6929734274,-143.088991341672
6,0.430836302760001,6.60547475497012,188.399282881167,-88.9421460685559
7,0.836592272998695,3.57147984825189,347.867146215592,-168.676077735768
8,0.665361208746162,2.93103111505453,419.931581831502,-204.708295543723
9,0.21940712458825,5.6497766632456,313.686053395397,-151.585531325671
10,0.359312146062987,3.93610594929867,373.891894375132,-181.688451815538
11,0.379539586977904,3.61860022058039,403.736013151981,-196.610511203963
11,0.379539558430098,3.61860053809055,403.736013151976,-196.61051120396
12,0.432027468844586,4.06042698512442,353.080314008602,-171.282661632273
12,0.432022287698388,4.06043645325068,353.080314012242,-171.282661634093
13,0.362569212620758,4.8315446704943,286.298964163033,-137.891986709489
13,0.362569277125739,4.83154280807202,286.29896416306,-137.891986709502
14,0.609627484206697,3.93212826530754,354.989913303457,-172.237461279701
14,0.609631338214083,3.93212351603553,354.989913301527,-172.237461278736
15,0.447407925753227,4.22392715379513,342.618493372659,-166.051751314302
15,0.447404000449845,4.22392486249761,342.618493375514,-166.051751315729
16,0.493210209908922,6.86744910957569,166.415280474259,-77.9501448651015
16,0.493214828131813,6.86744004293133,166.415280484158,-77.9501448700511
17,0.429244003003707,3.77514576575982,383.725552179019,-186.605280717482
17,0.429246830363304,3.7751392804118,383.725552180728,-186.605280718336
18,0.340911859412377,5.62605830784474,273.692037134943,-131.588523195444
18,0.340911776345296,5.62605907218476,273.692037134873,-131.588523195409
19,0.237736903460576,3.3999849329152,461.60978210333,-225.547395679637
19,0.237737578037852,3.39998048348749,461.609782103884,-225.547395679914
20,0.434768430534896,8.33074906309235,126.404268860205,-57.9446390580748
20,0.434767769721481,8.33074788202186,126.404268859706,-57.9446390578254
