"first_character","second_character","Cue","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","trial_cond","switch_cond","cuedCharacter","obj_category","image","participant","task_resp.keys","task_resp.corr","task_resp.rt","response","respCat","V1","V2","V3","V4","P1","P2","P3","P4","Delta1","Delta2","Delta3","Delta4","Prob","Delta","accuracy"
"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png",2,0,2,"stimuli/m5.jpg","Kitchen & utensil","stimuli/objects/travelmug.jpg",1,1,0,1.175,1,"Electronic device & accessory",0.130652956547711,0.130652956547711,0.130652956547711,0.130652956547711,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.25,NA,0
"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png",2,1,2,"stimuli/m2.jpg","Outdoor activity & sport item","stimuli/objects/swimgoggles.jpg",1,2,1,0.518,2,"Outdoor activity & sport item",0.130652956547711,0.130652956547711,0.130652956547711,0.608041130356868,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,0.75,0.25,NA,1
"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png",3,0,2,"stimuli/m5.jpg","Outdoor activity & sport item","stimuli/objects/outdoorheater.jpg",1,4,0,1.1,4,"Kitchen & utensil",0.068280780218632,0.068280780218632,0.068280780218632,0.068280780218632,0.25,0.25,0.25,0.25,-0.130652956547711,-0.130652956547711,-0.130652956547711,-0.130652956547711,0.25,NA,0
"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png",2,1,2,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/adjustablewrench01b.jpg",1,2,1,0.913,2,"Hand labour tool & accessory",0.0356843432437949,0.513072517052952,0.0356843432437949,0.0356843432437949,0.25,0.25,0.25,0.25,-0.068280780218632,0.931719219781368,-0.068280780218632,-0.068280780218632,0.25,NA,1
"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png",3,0,2,"stimuli/m2.jpg","Electronic device & accessory","stimuli/objects/phonejack.jpg",1,4,0,1.059,4,"Outdoor activity & sport item",0.068280780218632,0.068280780218632,0.068280780218632,0.317769485534947,0.107435736687715,0.107435736687715,0.107435736687715,0.677692789936855,-0.130652956547711,-0.130652956547711,-0.130652956547711,-0.608041130356868,0.677692789936855,NA,0
"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png",4,1,2,"stimuli/m2.jpg","Outdoor activity & sport item","stimuli/objects/patioumbrella.jpg",1,1,0,1.119,1,"Hand labour tool & accessory",0.0356843432437949,0.0356843432437949,0.0356843432437949,0.166070091143143,0.177987971975717,0.177987971975717,0.177987971975717,0.466036084072848,-0.068280780218632,-0.068280780218632,-0.068280780218632,-0.317769485534947,0.177987971975717,NA,0
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png",1,0,2,"stimuli/m5.jpg","Electronic device & accessory","stimuli/objects/wire.jpg",1,4,0,1.041,4,"Hand labour tool & accessory",0.0186490597890605,0.268137765105376,0.0186490597890605,0.0186490597890605,0.107435736687715,0.677692789936855,0.107435736687715,0.107435736687715,-0.0356843432437949,-0.513072517052952,-0.0356843432437949,-0.0356843432437949,0.677692789936855,NA,0
"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png",2,0,2,"stimuli/m5.jpg","Kitchen & utensil","stimuli/objects/cowbell.jpg",1,1,0,1.104,1,"Electronic device & accessory",0.00974621919310314,0.140131967092452,0.00974621919310314,0.00974621919310314,0.177987971975717,0.466036084072848,0.177987971975717,0.177987971975717,-0.0186490597890605,-0.268137765105376,-0.0186490597890605,-0.0186490597890605,0.177987971975717,NA,0
"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png",1,1,2,"stimuli/m2.jpg","Outdoor activity & sport item","stimuli/objects/baseball01a.jpg",1,1,1,0.738,1,"Outdoor activity & sport item",0.0186490597890605,0.0186490597890605,0.0186490597890605,0.564178367417155,0.214881002976819,0.214881002976819,0.214881002976819,0.355356991069544,-0.0356843432437949,-0.0356843432437949,-0.0356843432437949,0.833929908856857,0.355356991069544,NA,1
"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png",4,1,2,"stimuli/m2.jpg","Outdoor activity & sport item","stimuli/objects/bikehelmet.jpg",1,4,1,0.978,4,"Outdoor activity & sport item",0.00974621919310314,0.00974621919310314,0.00974621919310314,0.772234460702405,0.0892490522072846,0.0892490522072846,0.0892490522072846,0.732252843378146,-0.0186490597890605,-0.0186490597890605,-0.0186490597890605,0.435821632582845,0.732252843378146,NA,1
