"","SubNum","character","response","respCat","corrCat","accuracy","cumAcc","cumAccBlock","cumAccbyChar","RT","trialNum","trialNbychar","listN","NfromChange","befAft","iCP","trialCond","image","recogAcc","confidence","association","RTrecog","corr_ans_assoc"
"3828",25,"m5",4,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.590909090909091,0.590909090909091,0.7,1.2149,36,10,2,31,1,"beforeCP",1,"pressurewasher.jpg",0,2,NA,1.3163,NA
"3829",25,"m5",1,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.608695652173913,0.608695652173913,0.727272727272727,1.3449,37,11,2,32,1,"beforeCP",1,"saw02b.jpg",1,4,NA,0.8858,NA
"3830",25,"m5",2,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.625,0.625,0.75,3.4498,38,12,2,34,1,"beforeCP",1,"wheel01.jpg",1,4,"right",0.8194,1
"3831",25,"m5",2,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.64,0.64,0.769230769230769,0.6163,39,13,2,35,1,"beforeCP",1,"puttyknife.jpg",1,3,NA,3.3509,NA
"3832",25,"m2",1,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.653846153846154,0.653846153846154,0.538461538461539,0.6187,40,13,2,37,1,"beforeCP",1,"exercisebike.jpg",0,2,NA,1.52,NA
"3833",25,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.666666666666667,0.666666666666667,0.571428571428571,1.6008,41,14,2,38,1,"beforeCP",1,"bikelock.jpg",1,2,"left",2.4355,1
"3834",25,"m2",1,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.678571428571428,0.678571428571428,0.6,0.6996,42,15,2,39,1,"beforeCP",1,"bikepump01.jpg",1,2,"right",0.9487,0
"3835",25,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.689655172413793,0.689655172413793,0.625,0.7,43,16,2,40,1,"beforeCP",1,"propanetank01.jpg",1,3,"right",0.8933,0
"3836",25,"m5",4,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.7,0.7,0.785714285714286,1.5052,44,14,2,41,1,"beforeCP",1,"metalbrush.jpg",1,3,NA,1.0354,NA
"3837",25,"m5",2,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.709677419354839,0.709677419354839,0.8,0.5493,45,15,2,43,1,"beforeCP",1,"weedwacker.jpg",1,2,NA,1.7072,NA
"3838",25,"m2",3,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.71875,0.71875,0.647058823529412,0.8329,46,17,2,44,1,"beforeCP",1,"toyhockeystick01.jpg",1,2,"right",0.8825,0
"3839",25,"m5",4,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.727272727272727,0.727272727272727,0.8125,1.5061,47,16,2,45,1,"beforeCP",1,"hedgeshears.jpg",1,4,"right",0.9628,1
"3840",25,"m5",2,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.735294117647059,0.735294117647059,0.823529411764706,1.0042,48,17,2,46,1,"beforeCP",1,"caulking.jpg",1,4,NA,0.7667,NA
"3841",25,"m2",4,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.742857142857143,0.742857142857143,0.666666666666667,1.6046,49,18,2,47,1,"beforeCP",1,"soccerball.jpg",1,4,"right",1.0155,0
"3842",25,"m5",1,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.75,0.75,0.833333333333333,0.6157,50,18,2,48,1,"beforeCP",1,"axe01.jpg",1,2,"right",3.6127,1
"3843",25,"m5",2,"Hand labour tool & accessory","Kitchen & utensil",0,0.72972972972973,0,0,0.7381,51,1,3,1,0,"afterCP",1,"toothpick02.jpg",1,4,"right",1.1661,1
"3844",25,"m5",4,"Hand labour tool & accessory","Kitchen & utensil",0,0.710526315789474,0,0,1.1315,52,2,3,2,0,"afterCP",1,"woodenspoon.jpg",1,3,"right",0.8511,1
"3845",25,"m5",3,"Hand labour tool & accessory","Kitchen & utensil",0,0.692307692307692,0,0,1.2564,53,3,3,4,0,"afterCP",1,"gravyboat.jpg",1,3,NA,0.9389,NA
"3846",25,"m2",3,"Outdoor activity & sport item","Electronic device & accessory",0,0.675,0,0,0.9832,54,1,3,5,0,"afterCP",1,"videocamera01a.jpg",1,1,NA,1.8196,NA
"3847",25,"m5",1,"Hand labour tool & accessory","Kitchen & utensil",0,0.658536585365854,0,0,0.7571,55,4,3,6,0,"afterCP",1,"coffeepot03a.jpg",1,2,"left",3.3627,0
"3848",25,"m2",3,"Hand labour tool & accessory","Electronic device & accessory",0,0.642857142857143,0,0,1.1164,56,2,3,7,0,"afterCP",1,"filmnegative.jpg",1,2,NA,1.14,NA
"3849",25,"m5",3,"Kitchen & utensil","Kitchen & utensil",1,0.651162790697674,0.142857142857143,0.2,1.0871,57,5,3,8,0,"afterCP",1,"dishrack.jpg",1,4,"right",0.9635,1
"3850",25,"m5",3,"Kitchen & utensil","Kitchen & utensil",1,0.659090909090909,0.25,0.333333333333333,0.4515,58,6,3,10,0,"afterCP",1,"spatula04.jpg",1,4,"right",1.1139,1
"3851",25,"m2",2,"Hand labour tool & accessory","Electronic device & accessory",0,0.644444444444444,0.222222222222222,0,2.4394,59,3,3,12,0,"afterCP",1,"usbcable01a.jpg",1,3,"left",0.8386,1
"3852",25,"m2",4,"Electronic device & accessory","Electronic device & accessory",1,0.652173913043478,0.3,0.25,0.9595,60,4,3,13,0,"afterCP",1,"antenna.jpg",1,4,"right",0.9924,0
"3853",25,"m2",4,"Electronic device & accessory","Electronic device & accessory",1,0.659574468085106,0.363636363636364,0.4,0.4908,61,5,3,15,0,"afterCP",1,"ipad02.jpg",1,4,NA,0.7281,NA
"3854",25,"m2",4,"Electronic device & accessory","Electronic device & accessory",1,0.666666666666667,0.416666666666667,0.5,0.5496,62,6,3,16,0,"afterCP",1,"fanblades.jpg",1,3,NA,0.9426,NA
"3855",25,"m2",2,"Electronic device & accessory","Electronic device & accessory",1,0.673469387755102,0.461538461538462,0.571428571428571,1.6163,63,7,3,18,0,"afterCP",1,"payphone.jpg",1,4,NA,0.7923,NA
"3856",25,"m5",4,"Kitchen & utensil","Kitchen & utensil",1,0.68,0.5,0.428571428571429,1.0579,64,7,3,19,0,"afterCP",1,"martiniglass01b.jpg",1,3,NA,0.7871,NA
"3857",25,"m2",4,"Electronic device & accessory","Electronic device & accessory",1,0.686274509803922,0.533333333333333,0.625,2.1167,65,8,3,20,0,"afterCP",1,"satellitedish01.jpg",1,3,NA,1.1239,NA
"3858",25,"m2",1,"Electronic device & accessory","Electronic device & accessory",1,0.692307692307692,0.5625,0.666666666666667,1.2824,66,9,3,21,0,"beforeCP",1,"electricoutlet.jpg",1,4,NA,0.7135,NA
