"SubNum","character","response","respCat","corrCat","accuracy","cumAcc","cumAccBlock","cumAccbyChar","RT","trialNum","trialNbychar","listN","NfromChange","befAft","iCP","trialCond","image"
"1","m5","2","Hand labour tool & accessory","Hand labour tool & accessory","1","1","1","1","0.731","1","1","0","1","0","beforeCP","1","handrake01a.jpg"
"1","m5","2","Electronic device & accessory","Hand labour tool & accessory","0","0.5","0.5","0.5","2.421","2","2","0","2","0","afterCP","1","jumpingjack.jpg"
"1","m2","3","Outdoor activity & sport item","Outdoor activity & sport item","1","0.666666666666667","0.666666666666667","1","1.023","3","1","0","3","0","beforeCP","1","racquetballracket.jpg"
"1","m2","1","Electronic device & accessory","Outdoor activity & sport item","0","0.5","0.5","0.5","1.485","4","2","0","4","0","afterCP","1","racquetballracket.jpg"
"1","m2","1","Outdoor activity & sport item","Outdoor activity & sport item","1","0.6","0.6","0.666666666666667","1.005","5","3","0","5","0","beforeCP","1","crosscountryski.jpg"
"1","m2","1","Outdoor activity & sport item","Outdoor activity & sport item","1","0.666666666666667","0.666666666666667","0.75","0.451","6","4","0","6","0","beforeCP","1","crosscountryski.jpg"
"1","m5","2","Electronic device & accessory","Hand labour tool & accessory","0","0.571428571428571","0.571428571428571","0.333333333333333","0.92","7","3","0","7","0","beforeCP","1","jumpingjack.jpg"
"1","m5","2","Hand labour tool & accessory","Hand labour tool & accessory","1","0.625","0.625","0.5","0.581","8","4","0","8","1","beforeCP","1","pitchfork.jpg"
"1","m5","1","Kitchen & utensil","Hand labour tool & accessory","0","0.555555555555556","0.555555555555556","0.4","0.676","9","5","0","9","1","beforeCP","1","gavel.jpg"
"1","m2","4","Hand labour tool & accessory","Outdoor activity & sport item","0","0.5","0.5","0.6","0.895","10","5","0","10","1","afterCP","1","bicycle.jpg"
"1","m2","2","Outdoor activity & sport item","Outdoor activity & sport item","1","0.545454545454545","0.545454545454545","0.666666666666667","0.812","11","6","0","11","1","afterCP","1","racquetballracket.jpg"
"1","m2","1","Hand labour tool & accessory","Outdoor activity & sport item","0","0.5","0.5","0.571428571428571","0.904","12","7","0","12","1","afterCP","1","rollerblade.jpg"
"1","m5","3","Electronic device & accessory","Hand labour tool & accessory","0","0.461538461538462","0.461538461538462","0.333333333333333","1.583","13","6","0","13","1","afterCP","1","hedgetrimmer.jpg"
"1","m5","1","Hand labour tool & accessory","Hand labour tool & accessory","1","0.5","0.5","0.428571428571429","0.552","14","7","0","14","1","afterCP","1","jumpingjack.jpg"
"1","m2","2","Outdoor activity & sport item","Outdoor activity & sport item","1","1","1","1","0.518","15","1","2","2","0","beforeCP","1","swimgoggles.jpg"
"1","m5","2","Hand labour tool & accessory","Hand labour tool & accessory","1","1","1","1","0.913","16","1","2","4","0","beforeCP","1","adjustablewrench01b.jpg"
"1","m2","1","Hand labour tool & accessory","Outdoor activity & sport item","0","0.666666666666667","0.666666666666667","0.5","1.119","17","2","2","6","0","beforeCP","1","patioumbrella.jpg"
"1","m2","1","Outdoor activity & sport item","Outdoor activity & sport item","1","0.75","0.75","0.666666666666667","0.738","18","3","2","9","0","beforeCP","1","baseball01a.jpg"
"1","m2","4","Outdoor activity & sport item","Outdoor activity & sport item","1","0.8","0.8","0.75","0.978","19","4","2","10","0","beforeCP","1","bikehelmet.jpg"
"1","m2","2","Outdoor activity & sport item","Outdoor activity & sport item","1","0.833333333333333","0.833333333333333","0.8","0.954","20","5","2","11","0","beforeCP","1","canoepaddle02.jpg"
"1","m5","1","Electronic device & accessory","Hand labour tool & accessory","0","0.714285714285714","0.714285714285714","0.5","0.583","21","2","2","12","0","beforeCP","1","leafrake.jpg"
"1","m5","2","Hand labour tool & accessory","Hand labour tool & accessory","1","0.75","0.75","0.666666666666667","1.262","22","3","2","13","0","beforeCP","1","lawnmower.jpg"
"1","m2","2","Outdoor activity & sport item","Outdoor activity & sport item","1","0.777777777777778","0.777777777777778","0.833333333333333","1.416","23","6","2","14","0","beforeCP","1","reflector.jpg"
"1","m5","3","Hand labour tool & accessory","Hand labour tool & accessory","1","0.8","0.8","0.75","1.069","24","4","2","17","0","beforeCP","1","pliers02b.jpg"
"1","m2","3","Kitchen & utensil","Outdoor activity & sport item","0","0.727272727272727","0.727272727272727","0.714285714285714","1.099","25","7","2","19","0","beforeCP","1","boatmotor.jpg"
"1","m5","1","Hand labour tool & accessory","Hand labour tool & accessory","1","0.75","0.75","0.8","0.653","26","5","2","20","0","beforeCP","1","drillbit03a.jpg"
"1","m2","3","Outdoor activity & sport item","Outdoor activity & sport item","1","0.769230769230769","0.769230769230769","0.75","0.596","27","8","2","21","0","beforeCP","1","lifesaver.jpg"
"1","m5","1","Electronic device & accessory","Hand labour tool & accessory","0","0.714285714285714","0.714285714285714","0.666666666666667","0.56","28","6","2","22","0","beforeCP","1","tape02a.jpg"
"1","m2","2","Kitchen & utensil","Outdoor activity & sport item","0","0.666666666666667","0.666666666666667","0.666666666666667","0.838","29","9","2","23","0","beforeCP","1","ellipticalmachine.jpg"
"1","m5","3","Hand labour tool & accessory","Hand labour tool & accessory","1","0.6875","0.6875","0.714285714285714","0.606","30","7","2","24","0","beforeCP","1","wheelbarrow01.jpg"
"1","m5","1","Hand labour tool & accessory","Hand labour tool & accessory","1","0.705882352941176","0.705882352941176","0.75","0.552","31","8","2","26","1","beforeCP","1","boltcutter.jpg"
"1","m5","2","Hand labour tool & accessory","Hand labour tool & accessory","1","0.722222222222222","0.722222222222222","0.777777777777778","0.651","32","9","2","27","1","beforeCP","1","gluetube.jpg"
"1","m2","3","Electronic device & accessory","Outdoor activity & sport item","0","0.684210526315789","0.684210526315789","0.6","0.758","33","10","2","28","1","beforeCP","1","volleyball.jpg"
"1","m2","3","Outdoor activity & sport item","Outdoor activity & sport item","1","0.7","0.7","0.636363636363636","1.592","34","11","2","29","1","beforeCP","1","sportbag.jpg"
"1","m2","2","Outdoor activity & sport item","Outdoor activity & sport item","1","0.714285714285714","0.714285714285714","0.666666666666667","0.601","35","12","2","30","1","beforeCP","1","hockeygoaliemask.jpg"
"1","m5","4","Hand labour tool & accessory","Hand labour tool & accessory","1","0.727272727272727","0.727272727272727","0.8","0.832","36","10","2","31","1","beforeCP","1","pressurewasher.jpg"
