"simAlpha","fitAlpha","simBeta","fitBeta","simGamma","fitGamma","BIC"
NA,NA,NA,NA,NA,NA,NA
0.25,0,6.22710002565241,1,0.5,0.285496853291988,21.3176635605629
1,1,1.90899365870635,10,1,0.311122833518311,20.7962874694531
0.75,1,13.8623669830369,10,1,0.56997940200381,20.7962874694531
0.25,1,2.17628134880215,10,0.75,0.550259264418855,20.7962874694531
0,1,3.86417726499444,10,1,0.971732839941978,20.7962874694531
0.25,0,2.03637895639986,1,0.25,0.102441166294739,21.3176635605629
0.25,1,5.3435399401019,10,1,0.317199109354988,18.5483905944648
0.25,0,12.0530678418683,1.62403303767143,0.5,0.107264223508537,21.3176635605629
1,0,0.185430659912527,1,0.5,0.234862415585667,21.3176635605629
1,1,4.10024208018775,10,0.5,0.10881304810755,20.7962874694531
1,1,19.9692420185286,10,0,0.413300822488964,20.7962874694531
1,1,3.03015493261123,10,0.5,0.507990230340511,20.7962874694531
0.75,0,5.66843700574196,1,0,0.827446420444176,21.3176635605629
0,1,5.38906802127315,10,0,0.562696177978069,20.7962874694531
0.75,1,4.77236809653646,10,1,0.683743786998093,18.5483905944648
0.25,0,0.535167350899428,1,0.5,0.331545655848458,21.3176635605629
1,0,2.35658653080463,1,1,0.451966905035079,21.3176635605629
0,1,8.74305838677001,10,0,0.0694089287426323,20.7962874694531
0.5,1,1.24559066956863,10,1,0.133623999776319,20.7962874694531
0.75,1,18.4125715367757,10,0.25,0.457553667249158,20.7962874694531
0.75,1,4.69934487228698,10,1,0.116989661939442,20.7962874694531
0.5,0,3.69017999304132,1,0,0.0575704225338995,21.3176635605629
0.75,1,7.77246364350331,10,0.5,0.891112815123051,20.7962874694531
0.25,1,4.1107124224298,10,0.75,0.153111341642216,20.7962874694531
0.25,1,7.29754110756231,10,0.5,0.942562540527433,20.7962874694531
0.75,1,1.39209220418707,10,1,0.753361345268786,20.7962874694531
0.5,1,1.80944602470845,10,0,0.999866628553718,20.7962874694531
0,0,2.08913306472823,1.77187742711546,0.5,0.988045417936519,21.3176635605629
0,0,0.205238123890013,1,0.5,0.0743596632964909,21.3176635605629
0.5,0,2.5782889360562,1,0.25,0.88289539469406,21.3176635605629
