"simAlpha","fitAlpha","simBeta","fitBeta","BIC"
NA,NA,NA,NA,NA
0,0.0624782703816891,1,1,522.186888359805
0,0.739765764446929,10.5,10,280.113063343697
0,0.0088690014090389,20,10,201.025455310247
0.5,0.0432137029711157,1,1,524.885592121399
0.5,0.279196546645835,10.5,8.67572573620585,233.728368309621
0.5,0.125434719957411,20,10,421.663730853672
1,0.153522794833407,1,1,525.514823874639
1,0.544372014468536,10.5,10,343.340013055539
1,0.303934457944706,20,10,349.419388019393
0,0.963503592647612,1,1,525.803422513237
0,0.660943534690887,10.5,8.30976384529294,273.693945231454
0,0.167338679311797,20,10,262.724336795334
0.5,0.963103936053813,1,1.15822887501424,503.725381794089
0.5,0.0644362536258996,10.5,9.33704926283925,326.953379818378
0.5,0.113023502519354,20,10,464.569621220319
1,0.790687544737011,1,1.36445665982225,511.109685113585
1,0.737007855437696,10.5,10,286.146122546641
1,0.430249877739698,20,10,197.055112165548
0,0.262780169257894,1,1.24868274408893,495.412099530576
0,0.0462615429423749,10.5,8.18398468678035,216.2442219407
0,0.0228801358025521,20,10,332.995775973436
0.5,0.391171011142433,1,1,508.983345234297
0.5,0.0129187502898276,10.5,7.10349716304338,394.037197825863
0.5,0.813329217256978,20,10,370.514402393278
1,0.147610798478127,1,1,516.970769068196
1,0.52963527943939,10.5,10,307.13667884721
1,0.505602359538898,20,10,310.167944704328
