"simAlpha","fitAlpha","simBeta","fitBeta","simEta","fitEta","BIC"
NA,NA,NA,NA,NA,NA,NA
0,1,1,1,0,0.644011049385353,282.904056064546
0,1,1,1,0,0.374777767470229,286.125296943971
0,0,1,1.46363518424696,0.25,1,258.026563433052
0,0.0251469053253876,1,1.75602166445464,0.25,0.0279404319214504,270.198110875447
0,1,1,1.44473365460444,0.5,0.0389861910482759,252.84577816862
0,1,1,1,0.75,0.927100159649392,272.710471339776
0,0,1,1.00000019678732,0,0.00392596757178327,279.249099138009
0,1,1,1.67129642898128,1,0.359778087415599,268.63418795212
0,0.427918389026654,1,1,0.25,0,271.220993026861
0,0,5.75,1,0,0.483666473900894,279.982383747156
0,0,1,1,0.5,0.0290782666363793,276.094997739413
0,1,1,2.69160522509293,0.5,0.898024954087486,270.741959221388
0,0,5.75,6.04728755657524,0.25,0.296012006387038,148.599799032412
0,0.730668048791068,1,1.27824715758657,0.75,0.0492234786402744,271.014109015244
0,1,1,1,0.75,0.693286945662192,274.682640647566
0,0.224615221470292,1,1.25593941518138,1,1,268.020009166113
0,0.252122582456826,1,1,1,1,269.307377320185
0,1,5.75,5.12525866025814,0.5,0.615298262512433,137.002335727515
0,0,5.75,1,0,0,279.861561909423
0,0,5.75,5.32805083272501,0.75,0.653756279539716,208.523063169459
0,1,5.75,1,0,0.0290298789102422,280.243333395801
0,0.590891023707854,5.75,5.2988669016289,1,0.971778092629689,157.000132267967
0,1,5.75,6.70306885655392,0.25,0.153765143342048,113.46612519255
0,0.00334717503831465,10.5,1.00000027679171,0,0,279.857430862245
0,0.0211619945940886,5.75,5.209622048889,0.25,0.170345240877712,181.158021520313
0,0,5.75,5.52055562031237,0.5,0.339503574482345,188.926992340979
0,0.041031300341883,10.5,8.87429717938323,0.25,0.221812846420599,140.746965672471
0,0.808137405529133,5.75,5.34937441341953,0.5,0.25797841526373,189.846964662912
0,0,5.75,5.19953463937318,0.75,0.761597342487784,171.936232633218
0,0.288621667643789,10.5,10,0.5,0.556530564284949,134.002426501684
0,0,5.75,5.86445646205501,0.75,0.660870724729531,191.674963198305
0,0,5.75,6.30025654277291,1,1,200.513249365387
0,0.130580490244527,10.5,10,0.75,0.752490756834682,144.468651186216
0,0.023828594820859,10.5,1,0,0.767378807827382,281.293479570272
0,1,5.75,2.6869734250257,1,0.0460388198345936,227.783067605277
0,1,10.5,1,0,0.47934061238575,284.627234003833
0,0.164924757682423,10.5,9.59216556020181,1,0.988839019561395,152.793455184452
0,0.405334588677765,10.5,9.64697896170971,0.25,0.208164640502681,140.826815577506
0,0.162709891080329,10.5,10,0.25,0.018498195973769,132.657994464075
0,0,10.5,8.49117714840391,0.5,0.403858598864983,90.1470317939021
0,0,10.5,10,0.5,0.49772181973066,65.3647618738155
0,0.0389250443287657,15.25,2.34780934175019,0,0,276.829062264153
0,0,10.5,10,0.75,0.807160719330094,175.799634899602
0,0,10.5,10,0.75,0.837078784602732,94.7429092603468
0,0.483820895313494,15.25,10,0.25,0.122429241082302,105.36667509528
0,0.0441806237796933,10.5,10,1,0.982566385802323,151.622377749815
0,0,10.5,10,1,0.975676052198817,215.688227850571
0,0.0167940529821246,15.25,1.00000107932233,0,0,279.727414861783
0,0.0945207072080612,15.25,10,0.5,0.488579185371092,72.4334654570666
0,0.29558898393475,15.25,1,0,0.721113952988239,283.786117138002
0,0.0873524798485829,15.25,10,0.25,0.431271068329154,88.4057443569851
0,0,15.25,10,0.75,0.577686642830875,114.08600372468
0,0,15.25,10,0.25,0.172483664803353,119.266788010735
0,0.178445593770993,15.25,10,0.5,0.496341627373783,169.903337835344
0,0.0364559281786786,15.25,10,0.5,0.438195930761973,137.488443349719
0,0,15.25,10,1,0.968659828733163,192.154917858297
0,0.155387329433021,15.25,10,0.75,0.666784211739536,154.904285890739
0,0,15.25,10,1,1,144.923622054743
0,0.0485531081616426,15.25,10,0.75,0.585980307361654,157.874740872361
0,0,15.25,10,1,1,97.0048140739676
0,0.118196723172793,20,1,0,0,279.167396039834
0,-5.55111512312578e-17,20,1,0,0,279.861561909423
0,0.345113331408205,20,10,0.25,0.109556486219361,125.230174705474
0,1,20,1,0,0.966341097178205,277.869547323323
0,0.0418716806886296,20,10,0.25,0.305549616905634,49.6104573415409
0,0.00509887380174156,20,10,0.5,0.489696544313346,85.4547956555514
0,0.030598471754328,20,10,0.5,0.508624094688948,103.406385716261
0,0.868854585904425,20,10,0.25,0.0599993537731476,83.4521992686658
0,0,20,10,0.75,0.603640824419636,78.4812869222772
0,0,20,10,0.75,0.6930110960624,76.0858822428174
0,0,20,10,0.5,0.4739818687717,160.998995353219
0,0,20,10,1,1,201.114824608382
0,0.192108815059478,20,10,0.75,0.788030502418251,113.434367364954
0.25,0.16169801105259,1,1.00002305694132,0,0.0341729027623188,274.301996040168
0,0,20,10,1,0.988151235346024,149.359369068174
0.25,0.756614751418544,1,1.40471597171152,0.25,0.292647152255914,266.985299512884
0,1,20,2.35769930325549,1,0.0500672008886454,250.129421811826
0.25,0.905614318391738,1,1.32428079662557,0,0.0926601956667892,264.882905426539
