"first_character","second_character","Cue","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","trial_cond","switch_cond","cuedCharacter","obj_category","image","participant","task_resp.keys","task_resp.corr","task_resp.rt","trialNum","response","respCat","Q1","V1","Delta1","Q2","V2","Delta2","Q3","V3","Delta3","Q4","V4","Delta4","Prob","Delta","P1","P2","P3","P4"
"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png",1,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/axe01.jpg",4,1,1,1.173005,134,1,"Hand labour tool & accessory",NA,0.0597855485831918,-0.0805775790255501,NA,0.672434639159797,0.441485013931191,NA,0.0517007025048273,-0.0696810105532826,NA,0.216079109752184,-0.291226424352358,0.708992159147966,NA,0.058931651929077,0.708992159147966,0.0556825163108243,0.176393672612132
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png",2,0,4,"stimuli/m5.jpg","Kitchen & utensil","stimuli/objects/cookingpot.jpg",4,1,0,0.55237,135,1,"Hand labour tool & accessory",NA,0.0443586399916509,-0.0597855485831918,NA,0.498921341081265,-0.672434639159797,NA,0.296397404744226,0.948299297495173,NA,0.160322614182858,-0.216079109752184,0.851960884359333,NA,0.0351265056730176,0.851960884359333,0.0336791085082385,0.0792335014594104
"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png",3,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/spicerack.jpg",4,3,1,0.48004,136,3,"Kitchen & utensil",NA,0.149596212122246,-0.201622313248995,NA,0.191708176117232,-0.258379843908854,NA,0.645572716954193,0.477688891132189,NA,0.0131228948063282,-0.01768673397434,0.660524997695435,NA,0.124459789578787,0.16723200739287,0.660524997695435,0.0477832053329078
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png",4,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/ladder.jpg",4,4,1,1.221975,137,4,"Hand labour tool & accessory",NA,0.0329124510611599,-0.0443586399916509,NA,0.628218384455463,0.501078658918735,NA,0.219915783715083,-0.296397404744226,NA,0.118953380768294,-0.160322614182858,0.619559149135023,NA,0.0581599920166775,0.619559149135023,0.215930158827896,0.106350700020403
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png",3,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/hoe.jpg",4,3,1,1.414955,138,3,"Hand labour tool & accessory",NA,0.0244198071685048,-0.0329124510611599,NA,0.724151952599277,0.371781615544537,NA,0.163169282702572,-0.219915783715083,NA,0.0882589575296464,-0.118953380768294,0.809606879039031,NA,0.0365334441298149,0.809606879039031,0.0966893214970527,0.0571703553341016
"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png",1,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/staplegun.jpg",4,1,1,1.02538,139,1,"Hand labour tool & accessory",NA,0.0181185831781058,-0.0244198071685048,NA,0.795331070517455,0.275848047400723,NA,0.121065502293211,-0.163169282702572,NA,0.0654848440112278,-0.0882589575296464,0.895505437477803,NA,0.0234664668462208,0.895505437477803,0.0483132562250033,0.0327148394509733
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png",3,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/stubbywrench01a.jpg",4,3,1,1.210395,140,3,"Hand labour tool & accessory",NA,0.0134433107565786,-0.0181185831781058,NA,0.848143312630818,0.204668929482545,NA,0.0898260726697215,-0.121065502293211,NA,0.048587303942882,-0.0654848440112278,0.934727548215185,NA,0.0163656755978626,0.934727548215185,0.0279657973683002,0.0209409788186524
"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png",2,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/gravyboat.jpg",4,4,0,2.01404,141,4,"Electronic device & accessory",NA,0.110994791800087,-0.149596212122246,NA,0.142240293337897,-0.191708176117232,NA,0.737028217948509,0.354427283045807,NA,0.00973669691350586,-0.0131228948063282,0.0626898422112856,NA,0.0626898422112856,0.0780519592290533,0.828445947612099,0.0308122509475619
"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png",1,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/tape02a.jpg",4,1,1,0.74686,142,1,"Hand labour tool & accessory",NA,0.00997443355926006,-0.0134433107565786,NA,0.887328020149203,0.151856687369182,NA,0.066647584806812,-0.0898260726697215,NA,0.0360499614847251,-0.048587303942882,0.954302990702589,NA,0.0123878187115637,0.954302990702589,0.0184350593119106,0.0148741312739368
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png",3,0,4,"stimuli/m5.jpg","Kitchen & utensil","stimuli/objects/funnel.jpg",4,1,0,1.000825,143,1,"Hand labour tool & accessory",NA,0.00740065647737906,-0.00997443355926006,NA,0.658364188889768,-0.887328020149203,NA,0.307487432129502,0.933352415193188,NA,0.0267477225033507,-0.0360499614847251,0.965001058611225,NA,0.0100328767244058,0.965001058611225,0.0134748857571067,0.0114911789072628
