instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,space,8.2434,space,2.9269,right,2.0016,4,1.821,0,0,0,18,1,stimuli/objects/cashregister01.jpg,right,new,19,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.6791,4,1.0958,,,,,,,,,,left,2.0305,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,1,1,15,1,stimuli/objects/spicerack.jpg,left,old,16,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.1469,4,1.6056,,,,,,,,,,right,0.8008,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,2,2,79,1,stimuli/objects/wire.jpg,left,old,80,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.7654,4,2.3517,0,3,3,141,1,stimuli/objects/generator.jpg,right,new,142,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.4434,4,1.6793,,,,,,,,,,left,0.7293,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,4,4,11,1,stimuli/objects/usbkey.jpg,left,old,12,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,0.969,4,0.8336,,,,,,,,,,left,7.0342,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,5,5,70,1,stimuli/objects/hourglass.jpg,left,old,71,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.0643,3,3.7444,0,6,6,22,1,stimuli/objects/umbrella04.jpg,right,new,23,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.53,4,1.1476,,,,,,,,,,left,0.4376,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,7,7,58,1,stimuli/objects/rope03.jpg,left,old,59,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.0754,4,0.6706,,,,,,,,,,left,0.4695,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,8,8,140,1,stimuli/objects/anchor.jpg,left,old,141,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.0454,4,0.5299,,,,,,,,,,left,0.4298,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,9,9,84,1,stimuli/objects/catchermask.jpg,left,old,85,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,2.4339,3,2.1047,,,,,,,,,,right,0.603,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,10,10,117,1,stimuli/objects/videotape01b.jpg,right,new,118,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,2.5273,3,1.0535,,,,,,,,,,right,0.4652,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,11,11,56,1,stimuli/objects/cookingpot.jpg,left,old,57,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,3.658,2,0.8294,,,,,,,,,,left,0.9974,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,12,12,53,1,stimuli/objects/binoculars01b.jpg,right,new,54,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.3355,3,2.2439,0,13,13,109,1,stimuli/objects/winerack.jpg,right,new,110,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.3986,3,0.9336,,,,,,,,,,right,0.6301,0,0,0,0,1,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,14,14,44,1,stimuli/objects/level03a.jpg,left,old,45,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,3.61,1,0.5826,0,15,15,9,1,stimuli/objects/measuringtape01.jpg,right,new,10,,,,,,,,,,,,,,,
,,,,,,,,26,2021-11-19_09h36.32.052,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.4362,3,0.8184,0,16,16,111,1,stimuli/objects/speaker04.jpg,right,new,112,,,,,,,,,,,,,,,
