instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,space,9.005,space,9.325,right,2.71,3,2.285,0,0,0,112,1,stimuli/objects/gymnasticring.jpg,right,new,113,,,,,,,,,,,,,,,
,,,,,,,,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,2.102,2,0.851,,,,,,,,,,right,5.85,0,0,0,0,1,,,,,,,,
,,,,,,,,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,1,1,29,1,stimuli/objects/computerkeyboard02.jpg,left,old,30,,,,,,,,,,,,,,,
,,,,,,,,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,2.864,1,0.874,,,,,,,,,,right,3.304,0,0,0,0,1,,,,,,,,
,,,,,,,,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,2,2,38,1,stimuli/objects/soundmixer.jpg,right,new,39,,,,,,,,,,,,,,,
,,,,,,,,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,3.146,2,2.288,0,3,3,20,1,stimuli/objects/laptop01a.jpg,right,new,21,,,,,,,,,,,,,,,
,,,,,,,,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,2.359,4,2.72,,,,,,,,,,left,1.758,0,0,0,0,1,,,,,,,,
,,,,,,,,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,4,4,36,1,stimuli/objects/gps.jpg,left,old,37,,,,,,,,,,,,,,,
,,,,,,,,7,2021-04-18_16h04.27.437,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,2.961,1,0.489,,,,,,,,,,left,2.243,0,0,0,0,1,,,,,,,,
