instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,space,8.0631,space,7.7432,right,2.2547,4,3.8202,0,0,0,23,1,stimuli/objects/football.jpg,right,new,24,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,6.172,2,1.4296,0,1,1,18,1,stimuli/objects/cashregister01.jpg,right,new,19,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,3.4383,1,1.6358,0,2,2,41,1,stimuli/objects/pylon01.jpg,right,new,42,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.4251,4,0.6521,0,3,3,63,1,stimuli/objects/butterdish.jpg,right,new,64,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.2382,4,0.4502,0,4,4,134,1,stimuli/objects/screwdriver04b.jpg,right,new,135,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.1257,4,0.5621,0,5,5,94,1,stimuli/objects/electricmixer.jpg,right,new,95,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.3957,3,0.5827,0,6,6,6,1,stimuli/objects/saladspinner.jpg,left,old,7,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.091,4,0.412,,,,,,,,,,right,5.0527,0,0,0,0,1,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,7,7,37,1,stimuli/objects/setsquare.jpg,left,old,38,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.4851,4,0.7599,,,,,,,,,,left,1.9437,0,0,0,0,1,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,8,8,120,1,stimuli/objects/martiniglass01b.jpg,left,old,121,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.5051,4,0.7331,,,,,,,,,,right,1.126,0,0,0,0,1,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,9,9,87,1,stimuli/objects/dvdplayer.jpg,left,old,88,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.1198,4,0.7282,,,,,,,,,,left,0.4954,0,0,0,0,1,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,10,10,123,1,stimuli/objects/cowbell.jpg,left,old,124,,,,,,,,,,,,,,,
,,,,,,,,30,2021-12-06_11h32.00.442,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.957,4,1.2299,,,,,,,,,,right,0.7928,0,0,0,0,1,,,,,,,,
