myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,first_character,second_character,Cue,left_categ,centleft_categ,centright_categ,right_categ,corr_ans,trial_cond,switch_cond,cuedCharacter,corrCat,image,pract_resp.rt,rep_resp.keys,rep_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_resp.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,obj_category,rep_resp_2.keys,rep_resp_2.rt,repeat_task2.thisRepN,repeat_task2.thisTrialN,repeat_task2.thisN,repeat_task2.thisIndex,repeat_task2.ran
[],[],10,10,space,29.8932,space,16.4559,0,0,0,0,1,stimuli/slide1.png,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,37.0731,0,1,1,1,1,stimuli/slide2.png,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,20.158,0,2,2,2,1,stimuli/slide3.png,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,15.5272,0,3,3,3,1,stimuli/slide4.png,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,10.2607,0,4,4,4,1,stimuli/slide5.png,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,4.6796,0,5,5,5,1,stimuli/slide6.png,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,[],,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,space,49.8329,space,26.0039,,0,0,0,0,0,0,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/sneaker03b.jpg,,,,,,,,,,,,,,,,,,,,,,,,
0,[0],,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,2,0,0,0,1,1,1,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,0,0,stimuli/m4.jpg,Stationary & school supply,stimuli/objects/paperclip01b.jpg,2.1255,,,,,,,,,,,,,,,,,,,,,,,
1,[0],,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,2,1,1,0,2,2,2,1,stimuli/m1.jpg,stimuli/m4.jpg,1,stimuli/Vehicle.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/protractor.jpg,3.7476,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,4,1,1,0,3,3,3,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/hikingshoe01.jpg,2.3773,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,2,1,1,0,4,4,4,1,stimuli/m1.jpg,stimuli/m4.jpg,1,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/book01b.jpg,2.2446,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,4,1,1,0,5,5,5,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/shoelace.jpg,2.3727,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,1,1,1,0,6,6,6,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/moccasin.jpg,2.9585,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,2,1,1,0,7,7,7,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/waders.jpg,1.033,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,3,1,1,0,8,8,8,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,3,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/eraser.jpg,1.197,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,1,1,1,0,9,9,9,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/fountainpen.jpg,1.1491,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,2,1,1,0,10,10,10,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/visor.jpg,1.5443,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,n,53.7992,0,0,0,0,1,,,,,,,,,,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,,3,0,2.3825,0,0,0,0,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,,4,0,2.3863,0,1,1,1,1,Hand labour tool & accessory,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/huntingknife.jpg,,,,,,,,,2,1,2.9097,0,2,2,2,1,Kitchen & utensil,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,,stimuli/objects/footballhelmet.jpg,,,,,,,,,1,0,1.3147,0,3,3,3,1,Outdoor activity & sport item,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/handrake01a.jpg,,,,,,,,,2,1,1.8351,0,4,4,4,1,Hand labour tool & accessory,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/crosscountryski.jpg,,,,,,,,,1,1,3.2334,0,5,5,5,1,Outdoor activity & sport item,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,0,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/television.jpg,,,,,,,,,3,0,2.1167,0,6,6,6,1,Electronic device & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,0,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/hose.jpg,,,,,,,,,4,0,1.6967,0,7,7,7,1,Outdoor activity & sport item,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/solderingiron.jpg,,,,,,,,,1,1,2.3101,0,8,8,8,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,3,1,1,stimuli/m5.jpg,,stimuli/objects/gavel.jpg,,,,,,,,,1,0,1.1163,0,9,9,9,1,Hand labour tool & accessory,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,,4,1,2.5983,0,10,10,10,1,Hand labour tool & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,1,0,1,stimuli/m5.jpg,,stimuli/objects/walkietalkie.jpg,,,,,,,,,2,0,1.588,0,11,11,11,1,Electronic device & accessory,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,1,0,1,stimuli/m2.jpg,,stimuli/objects/coffeemaker.jpg,,,,,,,,,4,0,2.4014,0,12,12,12,1,Kitchen & utensil,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/bicycle.jpg,,,,,,,,,3,0,1.3302,0,13,13,13,1,Outdoor activity & sport item,,,,,,,
