myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,first_character,second_character,Cue,left_categ,centleft_categ,centright_categ,right_categ,corr_ans,trial_cond,switch_cond,cuedCharacter,corrCat,image,rep_resp.keys,rep_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_resp.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,obj_category,rep_resp_2.keys,rep_resp_2.rt,repeat_task2.thisRepN,repeat_task2.thisTrialN,repeat_task2.thisN,repeat_task2.thisIndex,repeat_task2.ran
[],[],10,10,space,99.7383,space,9.483,0,0,0,0,1,stimuli/slide1.png,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,15.6708,0,1,1,1,1,stimuli/slide2.png,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,18.1254,0,2,2,2,1,stimuli/slide3.png,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,16.2707,0,3,3,3,1,stimuli/slide4.png,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,10.8089,0,4,4,4,1,stimuli/slide5.png,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,5.3772,0,5,5,5,1,stimuli/slide6.png,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,[],,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,space,53.3961,space,16.1544,2,0,2.4391,0,0,0,0,0,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/sneaker03b.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,[0],,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,0,,0,0,1,1,1,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,0,0,stimuli/m4.jpg,Stationary & school supply,stimuli/objects/paperclip01b.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,[0],,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,3,0,2.9272,0,0,2,2,2,1,stimuli/m1.jpg,stimuli/m4.jpg,1,stimuli/Vehicle.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/protractor.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,0,2.233,0,0,3,3,3,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/hikingshoe01.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1.7321,1,0,4,4,4,1,stimuli/m1.jpg,stimuli/m4.jpg,1,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/book01b.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,0,3.2041,0,0,5,5,5,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/shoelace.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,0,,0,0,6,6,6,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/moccasin.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,3,0,1.8497,0,0,7,7,7,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/waders.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,0]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,0,2.3349,0,0,8,8,8,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,3,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/eraser.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,0,0]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,3,0,2.2308,0,0,9,9,9,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/fountainpen.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,0,0,0]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,0,1.6788,0,0,10,10,10,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/visor.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,0,0,0,0]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,4,0,1.8848,0,0,11,11,11,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/mitten04.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,0,0,0,0,0,0]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,3.3004,1,0,12,12,12,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/notebook03a.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,0,0,0,0,0,1]",,,,,,,,,,,,,24,2021-11-25_10h07.02.887,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,4,0,2.6536,1,0,13,13,13,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,1,0,0,stimuli/m4.jpg,Vehicle,stimuli/objects/locomotive.jpg,,,,,,,,,,,,,,,,,,,,,,,
