instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,19,2021-05-19_15h32.09.691,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,19,2021-05-19_15h32.09.691,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,19,2021-05-19_15h32.09.691,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19,2021-05-19_15h32.09.691,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,space,9.63218,space,17.06348,left,2.87653,3,1.691145,right,1.960775,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,19,2021-05-19_15h32.09.691,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,0,0,27,1,stimuli/objects/level03a.jpg,left,old,171,,,,,,,,
,,,,,,,,19,2021-05-19_15h32.09.691,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.236705,3,1.174275,,,,,,,,0,1,1,66,1,stimuli/objects/heatpump.jpg,right,new,210,,,,,,,,
,,,,,,,,19,2021-05-19_15h32.09.691,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.274585,3,1.74271,,,,,,,,0,2,2,19,1,stimuli/objects/mug01.jpg,right,new,163,,,,,,,,
,,,,,,,,19,2021-05-19_15h32.09.691,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,2.41171,4,0.70663,left,1.14092,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,19,2021-05-19_15h32.09.691,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,3,3,105,1,stimuli/objects/spicerack.jpg,left,old,249,,,,,,,,
,,,,,,,,19,2021-05-19_15h32.09.691,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,0.904075,4,0.50084,left,0.572215,0,0,0,0,1,,,,,,,,,,,,,,,,,
