myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,first_character,second_character,Cue,left_categ,centleft_categ,centright_categ,right_categ,corr_ans,trial_cond,switch_cond,cuedCharacter,corrCat,image,pract_resp.rt,rep_resp.keys,rep_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,obj_category,task_resp.rt,rep_resp_2.keys,rep_resp_2.rt,repeat_task2.thisRepN,repeat_task2.thisTrialN,repeat_task2.thisN,repeat_task2.thisIndex,repeat_task2.ran
0,"[0,0,1,0,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,3,0,0,0,6,6,6,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/moccasin.jpg,2.773,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,1,0,0,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1,0,7,7,7,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/waders.jpg,1.117,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,1,0,0,0,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,3,1,1,0,8,8,8,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,3,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/eraser.jpg,2.564,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,1,0,0,0,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,1,1,0,9,9,9,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/fountainpen.jpg,2.06,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,1,0,0,0,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1,0,10,10,10,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/visor.jpg,1.586,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,1,0,0,0,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1,0,11,11,11,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/mitten04.jpg,1.275,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,1,0,0,0,1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1,0,12,12,12,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/notebook03a.jpg,2.193,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,1,0,0,0,1,1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,0,1,0,13,13,13,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,1,0,0,stimuli/m4.jpg,Vehicle,stimuli/objects/locomotive.jpg,2.055,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,1,0,0,0,1,1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1,0,14,14,14,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Clothing.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/mechanicalpencil02.jpg,1.378,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,1,0,0,0,1,1,1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,0,1,0,15,15,15,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,1,0,0,stimuli/m4.jpg,Gamestoy & entertainment,stimuli/objects/rattle.jpg,1.939,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,1,0,0,0,1,1,1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,4,1,1,0,16,16,16,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/sheriffhat.jpg,3.94,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,j,50.53,0,0,0,0,1,,,,,,,,,,,,,,,,
1,[],,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,4,1,1,0,0,0,0,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/sneaker03b.jpg,2.601,,,,,,,,,,,,,,,,,,,,,,,
0,[1],,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,0,1,0,1,1,1,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,0,0,stimuli/m4.jpg,Stationary & school supply,stimuli/objects/paperclip01b.jpg,2.074,,,,,,,,,,,,,,,,,,,,,,,
1,[1],,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1,0,2,2,2,1,stimuli/m1.jpg,stimuli/m4.jpg,1,stimuli/Vehicle.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/protractor.jpg,2.34,,,,,,,,,,,,,,,,,,,,,,,
1,"[1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,4,1,1,0,3,3,3,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/hikingshoe01.jpg,1.505,,,,,,,,,,,,,,,,,,,,,,,
1,"[1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1,0,4,4,4,1,stimuli/m1.jpg,stimuli/m4.jpg,1,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/book01b.jpg,1.637,,,,,,,,,,,,,,,,,,,,,,,
1,"[1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,4,1,1,0,5,5,5,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/shoelace.jpg,2.431,,,,,,,,,,,,,,,,,,,,,,,
1,"[1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,1,1,0,6,6,6,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/moccasin.jpg,1.649,,,,,,,,,,,,,,,,,,,,,,,
1,"[1,1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1,0,7,7,7,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/waders.jpg,1.858,,,,,,,,,,,,,,,,,,,,,,,
1,"[1,1,1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,3,1,1,0,8,8,8,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,3,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/eraser.jpg,1.041,,,,,,,,,,,,,,,,,,,,,,,
1,"[1,1,1,1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,1,1,0,9,9,9,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/fountainpen.jpg,1.65,,,,,,,,,,,,,,,,,,,,,,,
1,"[1,1,1,1,1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,1,1,0,10,10,10,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/visor.jpg,1.394,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,n,5.568,1,0,1,0,1,,,,,,,,,,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,,,0,0,0,0,0,1,Hand labour tool & accessory,,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,,3,0,0,1,1,1,1,Hand labour tool & accessory,1.476,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/huntingknife.jpg,,,,,,,,,1,0,0,2,2,2,1,Kitchen & utensil,2.205,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,,stimuli/objects/footballhelmet.jpg,,,,,,,,,1,0,0,3,3,3,1,Outdoor activity & sport item,2.331,,,,,,,
1,"[1,1,1,1,1,1,1,1,1,1,0,0,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/handrake01a.jpg,,,,,,,,,2,1,0,4,4,4,1,Hand labour tool & accessory,3.625,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0,0,0,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/crosscountryski.jpg,,,,,,,,,4,0,0,5,5,5,1,Outdoor activity & sport item,3.862,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0,0,0,1,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/television.jpg,,,,,,,,,1,0,0,6,6,6,1,Electronic device & accessory,1.149,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0,0,0,1,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/hose.jpg,,,,,,,,,4,0,0,7,7,7,1,Outdoor activity & sport item,2.191,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/solderingiron.jpg,,,,,,,,,,0,0,8,8,8,1,Hand labour tool & accessory,,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,3,1,1,stimuli/m5.jpg,,stimuli/objects/gavel.jpg,,,,,,,,,1,0,0,9,9,9,1,Hand labour tool & accessory,2.168,,,,,,,
1,"[1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,,4,1,0,10,10,10,1,Hand labour tool & accessory,2.01,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,1,0,1,stimuli/m5.jpg,,stimuli/objects/walkietalkie.jpg,,,,,,,,,2,0,0,11,11,11,1,Electronic device & accessory,2.828,,,,,,,
1,"[1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,1,0,1,stimuli/m2.jpg,,stimuli/objects/coffeemaker.jpg,,,,,,,,,1,1,0,12,12,12,1,Kitchen & utensil,1.674,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/bicycle.jpg,,,,,,,,,3,0,0,13,13,13,1,Outdoor activity & sport item,1.905,,,,,,,
0,"[1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0]",,,,,,,,,,,,,20,2021-06-05_12h38.04.629,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/punchingbag.jpg,,,,,,,,,1,0,0,14,14,14,1,Outdoor activity & sport item,1.282,,,,,,,
