instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.2972,4,0.5377,0,13,13,139,1,stimuli/objects/frisbee.jpg,right,new,140,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,2.0149,4,0.9829,,,,,,,,,,right,1.3453,0,0,0,0,1,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,14,14,78,1,stimuli/objects/tupperware03a.jpg,left,old,79,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.7001,3,1.916,0,15,15,138,1,stimuli/objects/taperecorder.jpg,right,new,139,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,4.771,3,1.2586,0,16,16,60,1,stimuli/objects/glass02a.jpg,right,new,61,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,2.2446,3,1.8158,,,,,,,,,,right,2.2632,0,0,0,0,1,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,17,17,9,1,stimuli/objects/measuringtape01.jpg,right,new,10,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.3165,4,1.373,0,18,18,76,1,stimuli/objects/megaphone.jpg,right,new,77,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,2.4875,3,1.1216,,,,,,,,,,right,4.2697,0,0,0,0,1,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,19,19,105,1,stimuli/objects/videocamera01a.jpg,left,old,106,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.7544,4,0.9573,0,20,20,131,1,stimuli/objects/spotlight.jpg,right,new,132,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,3.1223,3,1.2131,0,21,21,53,1,stimuli/objects/binoculars01b.jpg,right,new,54,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.2696,4,0.5309,0,22,22,39,1,stimuli/objects/sippycup.jpg,right,new,40,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.0739,4,0.0489,0,23,23,108,1,stimuli/objects/metalscissors.jpg,right,new,109,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.9805,4,0.8821,0,24,24,90,1,stimuli/objects/carlighter02.jpg,right,new,91,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.5533,4,0.2874,0,25,25,86,1,stimuli/objects/toasteroven.jpg,right,new,87,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.6263,3,1.5188,0,26,26,50,1,stimuli/objects/chisel02b.jpg,right,new,51,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,2.1046,4,0.3428,,,,,,,,,,left,1.2076,0,0,0,0,1,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,27,27,130,1,stimuli/objects/soccerball.jpg,left,old,131,,,,,,,,,,,,,,,
