instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,14,2021-05-15_13h31.17.471,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,14,2021-05-15_13h31.17.471,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,14,2021-05-15_13h31.17.471,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,2021-05-15_13h31.17.471,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,space,13.502875,space,14.473535,right,2.31102,2,1.702615,0,0,0,135,1,stimuli/objects/wheelbarrow01.jpg,left,old,136,,,,,,,,,,,,,,,
,,,,,,,,14,2021-05-15_13h31.17.471,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.613125,4,1.14572,,,,,,,,,,left,7.78885,0,0,0,0,1,,,,,,,,
,,,,,,,,14,2021-05-15_13h31.17.471,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,1,1,27,1,stimuli/objects/downhillski.jpg,left,old,28,,,,,,,,,,,,,,,
,,,,,,,,14,2021-05-15_13h31.17.471,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,2.773135,3,1.090695,,,,,,,,,,right,3.859365,0,0,0,0,1,,,,,,,,
,,,,,,,,14,2021-05-15_13h31.17.471,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,2,2,82,1,stimuli/objects/snowbrush.jpg,right,new,83,,,,,,,,,,,,,,,
,,,,,,,,14,2021-05-15_13h31.17.471,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,2.873985,3,1.41254,,,,,,,,,,right,0.848055,0,0,0,0,1,,,,,,,,
,,,,,,,,14,2021-05-15_13h31.17.471,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,3,3,83,1,stimuli/objects/kitchenscale01a.jpg,right,new,84,,,,,,,,,,,,,,,
