instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,space,14.565,space,12.826,left,3.362,4,2.458,left,1.916,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,0,0,70,1,stimuli/objects/hourglass.jpg,left,old,71,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,3.31,4,1.223,left,2.577,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,1,1,0,1,stimuli/objects/electricoutlet.jpg,left,old,1,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,4.44,2,1.89,right,4.135,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,2,2,35,1,stimuli/objects/phonejack.jpg,left,old,36,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,6.72,2,2.572,,,,,,,,0,3,3,138,1,stimuli/objects/taperecorder.jpg,right,new,139,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,3.921,3,2.093,left,1.675,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,4,4,36,1,stimuli/objects/antenna.jpg,left,old,37,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,3.949,3,1.275,right,3.281,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,5,5,108,1,stimuli/objects/metalscissors.jpg,right,new,109,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,2.484,4,2.587,right,0.423,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,6,6,115,1,stimuli/objects/boltcutter.jpg,left,old,116,,,,,,,,
,,,,,,,,18,2021-05-17_18h34.30.287,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,5.594,2,1.382,,,,,,,,0,7,7,137,1,stimuli/objects/iceskate.jpg,left,old,138,,,,,,,,
