instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,space,13.7472,space,13.2003,right,3.4031,1,4.2991,0,0,0,39,1,stimuli/objects/sippycup.jpg,right,new,40,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,5.1134,4,1.4022,0,1,1,19,1,stimuli/objects/peppermill02b.jpg,right,new,20,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,2.6218,4,2.3877,0,2,2,41,1,stimuli/objects/pylon01.jpg,right,new,42,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,2.9839,4,2.9269,0,3,3,57,1,stimuli/objects/audiocablesplitter.jpg,right,new,58,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,3.1999,4,8.179,,,,,,,,,,left,21.0568,0,0,0,0,1,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,4,4,32,1,stimuli/objects/mitresaw.jpg,right,new,33,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,3.4529,4,4.6259,0,5,5,119,1,stimuli/objects/tongs01b.jpg,right,new,120,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,3.9534,3,0.9911,,,,,,,,,,left,4.9902,0,0,0,0,1,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,6,6,64,1,stimuli/objects/drillbit03a.jpg,left,old,65,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,3.4486,4,1.5686,,,,,,,,,,right,2.5528,0,0,0,0,1,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,7,7,34,1,stimuli/objects/lifesaver.jpg,left,old,35,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,6.8069,2,1.0785,,,,,,,,,,right,2.9824,0,0,0,0,1,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,8,8,134,1,stimuli/objects/screwdriver04b.jpg,right,new,135,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,2.9509,4,2.3423,,,,,,,,,,left,1.4546,0,0,0,0,1,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,9,9,137,1,stimuli/objects/surfboard.jpg,left,old,138,,,,,,,,,,,,,,,
,,,,,,,,21,2021-11-11_15h51.30.943,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.9627,4,0.8888,,,,,,,,,,left,4.7669,0,0,0,0,1,,,,,,,,
