myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,taskGoresp.keys,taskGoresp.rt,warmup_resp.keys,warmup_resp.corr,warmup_resp.rt,myownaccuracyCORR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,first_character,second_character,Cue,left_categ,centleft_categ,centright_categ,right_categ,corr_ans,trial_cond,switch_cond,cuedCharacter,obj_category,image,participant,date,expName,psychopyVersion,OS,frameRate,task_resp.keys,task_resp.corr,task_resp.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,conditions
0,[],10,10,space,75.098,space,5.539,1,0,1.903,0,0,0,0,0,1,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m5.jpg,Hand labour tool & accessory,stimuli/objects/handrake01a.jpg,6,2021-04-13_12h05.53.652,premceCat2_ses-02_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,
1,[],,,,,,,4,1,2.76,1,0,1,1,1,1,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,Hand labour tool & accessory,stimuli/objects/jumpingjack.jpg,6,2021-04-13_12h05.53.652,premceCat2_ses-02_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,
0,[],,,,,,,1,0,2.007,0,0,2,2,2,1,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,3,1,1,stimuli/m2.jpg,Outdoor activity & sport item,stimuli/objects/racquetballracket.jpg,6,2021-04-13_12h05.53.652,premceCat2_ses-02_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,
1,[],,,,,,,4,1,1.743,1,0,3,3,3,1,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,Outdoor activity & sport item,stimuli/objects/racquetballracket.jpg,6,2021-04-13_12h05.53.652,premceCat2_ses-02_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,
1,[],,,,,,,1,1,1.955,1,0,4,4,4,1,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,1,1,1,stimuli/m2.jpg,Outdoor activity & sport item,stimuli/objects/crosscountryski.jpg,6,2021-04-13_12h05.53.652,premceCat2_ses-02_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,
1,[],,,,,,,1,1,1.413,1,0,5,5,5,1,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m2.jpg,Outdoor activity & sport item,stimuli/objects/crosscountryski.jpg,6,2021-04-13_12h05.53.652,premceCat2_ses-02_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,
1,[],,,,,,,3,1,2.844,1,0,6,6,6,1,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,3,1,1,stimuli/m5.jpg,Hand labour tool & accessory,stimuli/objects/jumpingjack.jpg,6,2021-04-13_12h05.53.652,premceCat2_ses-02_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,
0,[],,,,,,,3,0,1.407,1,0,7,7,7,1,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,4,0,1,stimuli/m5.jpg,Kitchen & utensil,stimuli/objects/jug.jpg,6,2021-04-13_12h05.53.652,premceCat2_ses-02_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,
1,[],,,,,,,2,1,1.505,1,0,8,8,8,1,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m5.jpg,Hand labour tool & accessory,stimuli/objects/pitchfork.jpg,6,2021-04-13_12h05.53.652,premceCat2_ses-02_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,
0,[],,,,,,,4,0,1.761,1,0,9,9,9,1,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,2,0,1,stimuli/m2.jpg,Hand labour tool & accessory,stimuli/objects/boxcutter03a.jpg,6,2021-04-13_12h05.53.652,premceCat2_ses-02_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,,,,,,,,,,
