instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,17,2021-05-11_10h35.41.487,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,17,2021-05-11_10h35.41.487,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,17,2021-05-11_10h35.41.487,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,17,2021-05-11_10h35.41.487,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,space,11.865285,space,10.723635,right,4.140025,2,2.844665,0,0,0,123,1,stimuli/objects/jackhammer.jpg,right,new,267,,,,,,,,,,,,,,,
,,,,,,,,17,2021-05-11_10h35.41.487,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.449875,3,1.962575,0,1,1,64,1,stimuli/objects/volleyball.jpg,left,old,208,,,,,,,,,,,,,,,
,,,,,,,,17,2021-05-11_10h35.41.487,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.76218,4,2.427755,,,,,,,,,,left,2.437965,0,0,0,0,1,,,,,,,,
,,,,,,,,17,2021-05-11_10h35.41.487,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,2,2,84,1,stimuli/objects/patioumbrella.jpg,left,old,228,,,,,,,,,,,,,,,
,,,,,,,,17,2021-05-11_10h35.41.487,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,2.442115,3,1.318385,0,3,3,35,1,stimuli/objects/stroller.jpg,right,new,179,,,,,,,,,,,,,,,
,,,,,,,,17,2021-05-11_10h35.41.487,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.540225,4,2.241,,,,,,,,,,left,4.3786,0,0,0,0,1,,,,,,,,
,,,,,,,,17,2021-05-11_10h35.41.487,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,0,4,4,23,1,stimuli/objects/hockeypuck.jpg,left,old,167,,,,,,,,,,,,,,,
