instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,space,4.943085,space,9.88031,right,2.193675,2,2.102845,0,0,0,82,1,stimuli/objects/snowbrush.jpg,right,new,83,,,,,,,,,,,,,,,
,,,,,,,,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.522375,4,1.44107,0,1,1,112,1,stimuli/objects/gymnasticring.jpg,right,new,113,,,,,,,,,,,,,,,
,,,,,,,,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.413695,4,1.96302,,,,,,,,,,right,1.132805,0,0,0,0,1,,,,,,,,
,,,,,,,,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,2,2,0,1,stimuli/objects/electricoutlet.jpg,left,old,1,,,,,,,,,,,,,,,
,,,,,,,,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.17217,4,1.069,,,,,,,,,,right,1.35853,0,0,0,0,1,,,,,,,,
,,,,,,,,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,3,3,62,1,stimuli/objects/pastaspoon.jpg,left,old,63,,,,,,,,,,,,,,,
,,,,,,,,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.116415,4,0.34842,,,,,,,,,,right,0.58968,0,0,0,0,1,,,,,,,,
,,,,,,,,10,2021-04-29_12h36.38.064,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,4,4,132,1,stimuli/objects/expansioncard.jpg,left,old,133,,,,,,,,,,,,,,,
