instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,space,7.8214,space,9.0865,left,3.3627,2,2.2365,left,3.6257,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,0,0,97,1,stimuli/objects/coffeepot03a.jpg,left,old,241,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.8999,2,1.0186,,,,,,,,0,1,1,87,1,stimuli/objects/wiicontroller.jpg,right,new,231,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.0155,4,1.1861,left,1.2263,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,2,2,57,1,stimuli/objects/soccerball.jpg,left,old,201,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.5793,3,0.8669,,,,,,,,0,3,3,29,1,stimuli/objects/coffeemachine.jpg,left,old,173,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,3.1703,1,0.9038,right,0.4486,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,4,4,114,1,stimuli/objects/drinkshaker.jpg,right,new,258,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.0883,3,0.465,,,,,,,,0,5,5,103,1,stimuli/objects/swissarmyknife01a.jpg,right,new,247,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,2.0668,3,0.4104,left,1.2731,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,6,6,84,1,stimuli/objects/patioumbrella.jpg,left,old,228,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.5963,2,0.5299,,,,,,,,0,7,7,9,1,stimuli/objects/alarmsystem.jpg,right,new,153,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.1139,4,0.4742,left,1.2191,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,8,8,141,1,stimuli/objects/spatula04.jpg,left,old,285,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.3151,3,0.8611,,,,,,,,0,9,9,121,1,stimuli/objects/parachute.jpg,right,new,265,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,0.8685,4,0.3144,left,2.3898,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,10,10,31,1,stimuli/objects/hockeygoaliemask.jpg,left,old,175,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.2142,4,0.4484,right,0.5258,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,11,11,11,1,stimuli/objects/fuse.jpg,left,old,155,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.8534,2,0.7601,,,,,,,,0,12,12,94,1,stimuli/objects/file.jpg,right,new,238,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,0.8355,4,0.5085,right,1.519,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,13,13,105,1,stimuli/objects/gasburner.jpg,left,old,249,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,0.9773,4,0.3529,right,0.3638,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,14,14,113,1,stimuli/objects/gluetube.jpg,left,old,257,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.3315,2,0.4706,left,1.7232,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,15,15,32,1,stimuli/objects/pastaspoon.jpg,left,old,176,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.3105,3,0.9721,right,2.6045,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,16,16,88,1,stimuli/objects/kiddiepool.jpg,left,old,232,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,1.3713,1,0.4608,,,,,,,,0,17,17,49,1,stimuli/objects/cakeplatter.jpg,right,new,193,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,1.4119,2,0.3187,right,1.293,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,18,18,25,1,stimuli/objects/jar02.jpg,left,old,169,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,left,0.8103,4,0.395,left,0.2944,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,0,19,19,71,1,stimuli/objects/handgripper.jpg,left,old,215,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,0.9175,2,0.4775,,,,,,,,0,20,20,35,1,stimuli/objects/stroller.jpg,right,new,179,,,,,,,,
,,,,,,,,25,2021-11-26_13h32.04.971,premceCat2_ses-02_part-02_label-phase2,2020.2.10,Win32,60,,,,,right,2.0504,1,0.3851,,,,,,,,0,21,21,5,1,stimuli/objects/pickaxe02.jpg,right,new,149,,,,,,,,
